,Training Data MSE,All Data MSE
La Fleur et al,0.0007381299510598183,0.16441746056079865
Urtecho et al,0.0008344799280166626,0.031135329976677895
Hossain et al,0.008829660713672638,0.30071133375167847
Yu et al,0.0016234603244811296,0.1368660181760788
Lagator et al 36N,0.00204317644238472,0.24709446728229523
Lagator et al Pl,0.0039594052359461784,0.07909107208251953
Lagator et al Pr,0.0018503644969314337,0.15581950545310974
Anderson et al,0.027716388925909996,0.10122578591108322
De Novo Designs,0.021966801956295967,0.025433870032429695
