Number of Files,MSE,Name
3,-2.285170396,"Hossain et al, Lagator et al 36N, De Novo Designs"
3,-2.484246746,"Hossain et al, Lagator et al Pl, Lagator et al Pr"
3,-3.057781151,"Hossain et al, Lagator et al Pl, Anderson et al"
3,-3.578555303,"Hossain et al, Lagator et al Pl, De Novo Designs"
3,-2.876033949,"Hossain et al, Lagator et al Pr, Anderson et al"
3,-2.855947314,"Hossain et al, Lagator et al Pr, De Novo Designs"
3,-3.266604039,"Hossain et al, Anderson et al, De Novo Designs"
3,-3.370134981,"Yu et al, Lagator et al 36N, Lagator et al Pl"
3,-3.139660138,"Yu et al, Lagator et al 36N, Lagator et al Pr"
3,-2.532796057,"Yu et al, Lagator et al 36N, Anderson et al"
3,-4.001194305,"Yu et al, Lagator et al 36N, De Novo Designs"
3,-2.3890028,"Yu et al, Lagator et al Pl, Lagator et al Pr"
3,-2.479698482,"Yu et al, Lagator et al Pl, Anderson et al"
3,-3.30926898,"Yu et al, Lagator et al Pl, De Novo Designs"
3,-2.959424801,"Yu et al, Lagator et al Pr, Anderson et al"
3,-3.021856405,"Yu et al, Lagator et al Pr, De Novo Designs"
3,-3.798978616,"Yu et al, Anderson et al, De Novo Designs"
3,-2.532520907,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
3,-2.972480377,"Lagator et al 36N, Lagator et al Pl, Anderson et al"
3,-2.860515504,"Lagator et al 36N, Lagator et al Pl, De Novo Designs"
3,-3.507975217,"Lagator et al 36N, Lagator et al Pr, Anderson et al"
3,-3.128068303,"Lagator et al 36N, Lagator et al Pr, De Novo Designs"
3,-2.757106368,"Lagator et al 36N, Anderson et al, De Novo Designs"
3,-1.89939914,"Lagator et al Pl, Lagator et al Pr, Anderson et al"
3,-3.115587257,"Lagator et al Pl, Lagator et al Pr, De Novo Designs"
3,-3.321173303,"Lagator et al Pl, Anderson et al, De Novo Designs"
3,-2.949233867,"Lagator et al Pr, Anderson et al, De Novo Designs"
4,-5.275255552,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al"
4,-4.288720099,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N"
4,-5.796530634,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl"
4,-5.482985314,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr"
4,-5.04485498,"La Fleur et al, Urtecho et al, Hossain et al, Anderson et al"
4,-4.81828779,"La Fleur et al, Urtecho et al, Hossain et al, De Novo Designs"
4,-3.853626825,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N"
4,-4.152770749,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl"
4,-4.937415735,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr"
4,-3.552745307,"La Fleur et al, Urtecho et al, Yu et al, Anderson et al"
4,-3.264723807,"La Fleur et al, Urtecho et al, Yu et al, De Novo Designs"
4,-4.738937786,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl"
4,-5.050939982,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr"
4,-4.113154513,"La Fleur et al, Urtecho et al, Lagator et al 36N, Anderson et al"
4,-3.570794163,"La Fleur et al, Urtecho et al, Lagator et al 36N, De Novo Designs"
4,-4.613476619,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr"
4,-4.864416024,"La Fleur et al, Urtecho et al, Lagator et al Pl, Anderson et al"
4,-4.4484291,"La Fleur et al, Urtecho et al, Lagator et al Pl, De Novo Designs"
4,-4.75434412,"La Fleur et al, Urtecho et al, Lagator et al Pr, Anderson et al"
4,-4.353265289,"La Fleur et al, Urtecho et al, Lagator et al Pr, De Novo Designs"
4,-4.253346425,"La Fleur et al, Urtecho et al, Anderson et al, De Novo Designs"
4,-3.672309554,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N"
4,-4.415324977,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl"
4,-3.149818866,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr"
4,-3.007175112,"La Fleur et al, Hossain et al, Yu et al, Anderson et al"
4,-3.603136744,"La Fleur et al, Hossain et al, Yu et al, De Novo Designs"
4,-4.504118918,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl"
4,-3.948284514,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr"
4,-2.661688035,"La Fleur et al, Hossain et al, Lagator et al 36N, Anderson et al"
4,-3.232721774,"La Fleur et al, Hossain et al, Lagator et al 36N, De Novo Designs"
4,-3.733776273,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr"
4,-3.308520082,"La Fleur et al, Hossain et al, Lagator et al Pl, Anderson et al"
4,-4.197712938,"La Fleur et al, Hossain et al, Lagator et al Pl, De Novo Designs"
4,-3.264236515,"La Fleur et al, Hossain et al, Lagator et al Pr, Anderson et al"
4,-3.41958925,"La Fleur et al, Hossain et al, Lagator et al Pr, De Novo Designs"
4,-2.340934837,"La Fleur et al, Hossain et al, Anderson et al, De Novo Designs"
4,-4.461762895,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
4,-4.266571908,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
4,-3.93320188,"La Fleur et al, Yu et al, Lagator et al 36N, Anderson et al"
4,-4.046578308,"La Fleur et al, Yu et al, Lagator et al 36N, De Novo Designs"
4,-3.950187717,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
4,-3.738776948,"La Fleur et al, Yu et al, Lagator et al Pl, Anderson et al"
4,-4.0571953,"La Fleur et al, Yu et al, Lagator et al Pl, De Novo Designs"
4,-4.382044725,"La Fleur et al, Yu et al, Lagator et al Pr, Anderson et al"
4,-3.506833691,"La Fleur et al, Yu et al, Lagator et al Pr, De Novo Designs"
4,-3.827769604,"La Fleur et al, Yu et al, Anderson et al, De Novo Designs"
4,-4.12055114,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-4.421262362,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-4.483744541,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-3.822871203,"La Fleur et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-3.656023676,"La Fleur et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-2.627681924,"La Fleur et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-3.133733533,"La Fleur et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.587651623,"La Fleur et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-3.679944653,"La Fleur et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-3.148724821,"La Fleur et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.988255582,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N"
4,-4.179178041,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl"
4,-4.370132967,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr"
4,-4.066237723,"Urtecho et al, Hossain et al, Yu et al, Anderson et al"
4,-4.122716646,"Urtecho et al, Hossain et al, Yu et al, De Novo Designs"
4,-4.370467501,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl"
4,-3.741736487,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr"
4,-3.958446412,"Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al"
4,-4.261224906,"Urtecho et al, Hossain et al, Lagator et al 36N, De Novo Designs"
4,-4.532463348,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr"
4,-4.222139607,"Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al"
4,-3.841972634,"Urtecho et al, Hossain et al, Lagator et al Pl, De Novo Designs"
4,-4.125855209,"Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al"
4,-3.856455004,"Urtecho et al, Hossain et al, Lagator et al Pr, De Novo Designs"
4,-4.156704881,"Urtecho et al, Hossain et al, Anderson et al, De Novo Designs"
4,-4.309046295,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
4,-4.520745243,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
4,-3.766926124,"Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al"
4,-3.948855607,"Urtecho et al, Yu et al, Lagator et al 36N, De Novo Designs"
4,-4.174261059,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
4,-4.253181289,"Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al"
4,-4.113162257,"Urtecho et al, Yu et al, Lagator et al Pl, De Novo Designs"
4,-4.329779596,"Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al"
4,-4.549410325,"Urtecho et al, Yu et al, Lagator et al Pr, De Novo Designs"
4,-4.236497032,"Urtecho et al, Yu et al, Anderson et al, De Novo Designs"
4,-4.629248698,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-4.257047747,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-4.645049419,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-4.826633832,"Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-4.752226015,"Urtecho et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-3.87398819,"Urtecho et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-4.025397334,"Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-4.829442974,"Urtecho et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-4.469727799,"Urtecho et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-4.335996739,"Urtecho et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.335748871,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
4,-3.495230627,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
4,-3.175881873,"Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
4,-2.997774834,"Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
4,-3.216450182,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
4,-3.26751087,"Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
4,-3.445834776,"Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
4,-3.583113061,"Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
4,-3.234613593,"Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
4,-3.225663212,"Hossain et al, Yu et al, Anderson et al, De Novo Designs"
4,-2.755753447,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-3.532096074,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-3.840429872,"Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-3.107828856,"Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-3.303199098,"Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-2.88456903,"Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-2.902294081,"Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.051775491,"Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-3.222825366,"Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-2.815397546,"Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.561344943,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
4,-4.622387417,"Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
4,-4.16971556,"Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
4,-3.70947631,"Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
4,-3.723556632,"Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
4,-2.363886763,"Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
4,-2.598168456,"Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.442399846,"Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-3.030109443,"Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-3.094696396,"Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-3.113383614,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
4,-3.776587288,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
4,-3.217214724,"Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
4,-2.873966806,"Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
4,-2.928039012,"Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.454514309,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N"
5,-5.882051032,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl"
