,La Fleur et al,Urtecho et al,Yu et al,Lagator et al Pr,Lagator et al 36N,Lagator et al Pl,Hossain et al,Anderson et al,De Novo Designs
La Fleur et al,25.3588,131.9439,134.0104,139.0,116.0,139.0,60.1918,65.02166666666666,63.32457142857143
Urtecho et al,131.9439,87.5527,111.0176,150.0,150.0,150.0,130.602,141.47444444444446,129.874
Yu et al,134.0104,111.0176,22.1323,150.0,150.0,150.0,129.2237,144.18333333333334,129.7042857142857
Lagator et al Pr,139.0,150.0,150.0,16.1502,108.1841,33.976,139.0,139.0,139.0
Lagator et al 36N,116.0,150.0,150.0,108.1841,26.7326,107.4715,116.0,116.0,116.45714285714286
Lagator et al Pl,139.0,150.0,150.0,33.976,107.4715,16.1377,139.0,139.0,139.0
Hossain et al,60.1918,130.602,129.2237,139.0,116.0,139.0,52.4337,69.81777777777778,65.64828571428572
Anderson et al,65.02166666666666,141.47444444444446,144.18333333333334,139.0,116.0,139.0,69.81777777777778,3.4814814814814814,74.12380952380953
De Novo Designs,63.32457142857143,129.874,129.7042857142857,139.0,116.45714285714286,139.0,65.64828571428572,74.12380952380953,59.81224489795918
