upstream_length,downstream_length,mse,r2
66,6,2.375318397614628,1.5419459209464748e-06
44,3,2.3753162951863476,2.4270588561137174e-06
64,2,2.3753010775616104,8.833611041869638e-06
62,4,2.37526986510383,2.1973916646156333e-05
55,4,2.37524285789588,3.334383081576853e-05
62,2,2.375199166119569,5.173787389856077e-05
65,4,2.375138692430503,7.719702745012658e-05
45,3,2.3750229060579633,0.00012594257420284194
7,90,2.3749139980474134,0.00017179236121622754
4,90,2.3749139980474134,0.00017179236121622754
26,90,2.3749139980474134,0.00017179236121622754
16,90,2.3749139980474134,0.00017179236121622754
21,90,2.3749139980474134,0.00017179236121622754
13,90,2.3749139980474134,0.00017179236121622754
3,90,2.3749139980474134,0.00017179236121622754
1,90,2.3749139980474134,0.00017179236121622754
9,90,2.3749139980474134,0.00017179236121622754
8,90,2.3749139980474134,0.00017179236121622754
20,90,2.3749139980474134,0.00017179236121622754
18,90,2.3749139980474134,0.00017179236121622754
11,90,2.3749139980474134,0.00017179236121622754
24,90,2.3749139980474134,0.00017179236121622754
14,90,2.3749139980474134,0.00017179236121622754
12,90,2.3749139980474134,0.00017179236121622754
0,90,2.3749139980474134,0.00017179236121622754
2,90,2.3749139980474134,0.00017179236121622754
5,90,2.3749139980474134,0.00017179236121622754
10,90,2.3749139980474134,0.00017179236121622754
6,90,2.3749139980474134,0.00017179236121622754
22,90,2.3749139980474134,0.00017179236121622754
19,90,2.3749139980474134,0.00017179236121622754
23,90,2.3749139980474134,0.00017179236121622754
15,90,2.3749139980474134,0.00017179236121622754
17,90,2.3749139980474134,0.00017179236121622754
25,90,2.3749139980474134,0.00017179236121622754
48,4,2.374856142509256,0.00019614928490507832
65,2,2.374855136746081,0.00019657270671880056
45,4,2.374801683548877,0.00021907626448836037
41,4,2.3745685481290844,0.0003172252370827744
64,6,2.3744120934139668,0.00038309197479258206
61,6,2.3741790506765734,0.0004812019285099778
29,83,2.373888686341869,0.0006034440191997614
19,83,2.373888686341869,0.0006034440191997614
13,83,2.373888686341869,0.0006034440191997614
